Be.	Mo.	Set.pal	ae.	Cyc.bar	Des.gan	Mel.rep	Imp.sp.	Lep.pan	Phy.ama	J.	Man.uti	Cen.asi	Sco.dul	Ver.sp.	Thu.gra	Hed.aur	Mol.pen	Vit.qui	Thy.lat	Pae.pil	Sel.hel	Chr.odo	Phr.val	Sol.nig	Mim.dip	Aj.	Cyn.dac	Blu.lac	Ele.ind	The.sub	Spi.pan	Eup.hir	Bid.pil	Pen.pol	Oxa.cor	Cra.cre	Mit.vil	Not_identified	Pas.con	Dig.rad	Lyg.fle	Age.con	Con.sum	Plot1m2	LU	Field	Date
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	29	0	5	3	8	0	0	3	165	2	OR1-OR-1	OR	OR1	03/08/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5	0	0	5	0	0	33	0	2	2	0	1	0	0	78	16	OR1-OR-2	OR	OR1	03/08/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	0	0	2	0	1	21	0	7	10	0	106	0	0	79	19	OR1-OR-3	OR	OR1	03/08/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	0	1	0	0	28	0	OR1-OR-4	OR	OR1	03/08/2016
0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	11	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	50	0	0	5	1	OR1-OR-5	OR	OR1	03/08/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	7	2	OR2-OR-1	OR	OR2	03/10/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	31	0	OR2-OR-2	OR	OR2	03/10/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	58	1	OR2-OR-3	OR	OR2	03/10/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	15	7	2	OR2-OR-4	OR	OR2	03/10/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	OR2-OR-5	OR	OR2	03/10/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	3	0	0	2	0	0	0	25	26	0	OR3-OR-1	OR	OR3	03/17/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	19	7	0	OR3-OR-2	OR	OR3	03/17/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	43	0	0	0	3	0	0	16	0	0	0	90	100	2	OR3-OR-3	OR	OR3	03/17/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	33	0	0	0	3	0	0	26	0	0	0	189	92	2	OR3-OR-4	OR	OR3	03/17/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	5	0	4	0	12	52	1	OR3-OR-5	OR	OR3	03/17/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	22	0	166	46	2	OR4-OR-1	OR	OR4	03/26/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	3	0	0	0	0	0	99	0	14	134	0	OR4-OR-2	OR	OR4	03/26/2016
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	43	0	3	46	0	OR4-OR-3	OR	OR4	03/26/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	33	0	0	0	0	7	0	1	286	2	OR4-OR-4	OR	OR4	03/26/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	1	0	2	74	5	OR4-OR-5	OR	OR4	03/26/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	4	OR5-OR-1	OR	OR5	03/30/2016
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	4	OR5-OR-2	OR	OR5	03/30/2016
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	2	OR5-OR-3	OR	OR5	03/30/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	OR5-OR-4	OR	OR5	03/30/2016
